College,,AAU,Announce date,Type,State  ^Color denotes 2020 presidential result^,Employees  ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,state_pol
[Adelphi University](https://www.adelphi.edu/news/covid-19-vaccine-required-for-adelphi-university-students/)@@Adelphi University,Adelphi University,,"July 26, 2021",Private,NY,--,✓,--,D
[Agnes Scott College](https://www.agnesscott.edu/engaging-the-challenge-together//updates/vaccination-policy-fall-semester.html)@@Agnes Scott College,Agnes Scott College,,"May 7, 2021",Private,GA,✓,✓,--,D
[Albany College of Pharmacy and Health Sciences](https://myemail.constantcontact.com/2021-22-Campus-Update--1---Updated-Health-and-Safety-Protocols.html?soid=1101058277979&aid=qNzqeL1Mm6A)@@Albany College of Pharmacy and Health Sciences,Albany College of Pharmacy and Health Sciences,,--,Private,NY,✓,✓,--,D
[Albany Law School](https://www.albanylaw.edu/news/message-the-dean-fall-2021-covid-policies)@@Albany Law School,Albany Law School,,"August 13, 2021",Private,NY,✓,✓,--,D
[Albert Einstein College of Medicine](https://einsteinmed.org/intranet/coronavirus/vaccination/requirements/)@@Albert Einstein College of Medicine,Albert Einstein College of Medicine,,"August 2, 2021",Private,NY,✓,✓,--,D
[Albertus Magnus College](https://www.albertus.edu/media-public-relations/press-releases/albertus-magnus-college-requiring-COVID-vaccination-for-fall.php)@@Albertus Magnus College,Albertus Magnus College,,"June 29, 2021",Private,CT,✓,✓,--,D
[Albion College](https://www.albion.edu/albion-college-to-require-a-covid-19-vaccination-before-returning-to-campus-for-the-fall-2021-semester/)@@Albion College,Albion College,,"May 19, 2021",Private,MI,✓,✓,--,D
[Alfred University](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Alfred University,Alfred University,,"May 10, 2021",Private,NY,--,✓,--,D
[Allan Hancock College](https://www.hancockcollege.edu/news/newsreleases/08-11-2021%20AHC%20Vaccination%20Mandate.php)@@Allan Hancock College,Allan Hancock College,,"August 11, 2021",Public,CA,✓,✓,--,D
[Allegheny College](https://sites.allegheny.edu/covid19/2021/05/18/covid-19-vaccine-to-be-required-for-allegheny-students/)@@Allegheny College,Allegheny College,,"May 18, 2021",Private,PA,--,✓,--,D
[Alvernia University](https://www.alvernia.edu/current-students/health-wellness-center/health-alerts)@@Alvernia University,Alvernia University,,"May 24, 2021",Private,PA,--,✓,--,D
[American Baptist College](https://abcnash.edu/covid19/)@@American Baptist College,American Baptist College,,"July 26, 2021",Private,TN,--,✓,--,R
[American International College](https://www.aic.edu/reopening-2021-2022/)@@American International College,American International College,,"June 11, 2021",Private,MA,✓,✓,--,D
[American Jewish University](https://www.aju.edu/about-aju/covid-19-planning-and-preparation)@@American Jewish University,American Jewish University,,"June 21, 2021",Private,CA,--,✓,--,D
[American River College](https://losrios.edu/campus-life/news/los-rios-to-implement-covid-19-vaccine-requirement)@@American River College,American River College,,"August 3, 2021",Public,CA,✓,✓,--,D
[American University](https://www.american.edu/media/pr/20210524_vaccine_community_update.cfm)@@American University,American University,,"April 14, 2021",Private,DC,✓,✓,--,D
[Amherst College](https://www.amherst.edu/amherst-story/president/statements/node/800628)@@Amherst College,Amherst College,,"April 23, 2021",Private,MA,✓,✓,--,D
[Anna Maria College](https://www.masslive.com/worcester/2021/04/anna-maria-college-in-paxton-will-require-students-to-be-vaccinated-against-covid-to-return-to-campus-in-the-fall.html)@@Anna Maria College,Anna Maria College,,"April 29, 2021",Private,MA,✓,✓,--,D
[Asnuntuck Community College](https://www.ct.edu/covid19#faqs)@@Asnuntuck Community College,Asnuntuck Community College,,"June 25, 2021",Public,CT,--,✓,--,D
[Assumption University](https://www.assumption.edu/news-and-events/news/fall-2021-easing-safety-protocols)@@Assumption University,Assumption University,,"April 16, 2021",Private,MA,✓,✓,--,D
[Augsburg University](https://drive.google.com/file/d/1BTALtRZBsDhowtUh3FEprNCxn84AyBJZ/view)@@Augsburg University,Augsburg University,,"July 21, 2021",Private,MN,✓,✓,--,D
[Aurora University](https://aurora.edu/student-life/campus-services/wellness/coronavirus/faq.html)@@Aurora University,Aurora University,,"August 18, 2021",Private,IL,✓,✓,--,D
[Austin Presbyterian Theological Seminary](https://www.austinseminary.edu/about/coronavirus-update)@@Austin Presbyterian Theological Seminary,Austin Presbyterian Theological Seminary,,"June 7, 2021",Private,TX,✓,✓,--,R
[Babson College](https://www.babson.edu/emergency-preparedness/return-to-campus/#)@@Babson College,Babson College,,--,Private,MA,--,✓,--,D
[Bank Street College of Education](https://graduate.bankstreet.edu/covid-19-vaccination-policy/)@@Bank Street College of Education,Bank Street College of Education,,--,Private,NY,--,✓,--,D
[Bard College](https://www.bard.edu/covid19/)@@Bard College,Bard College,,"May 5, 2021",Private,NY,✓,✓,--,D
[Barnard College](https://barnard.edu/news/student-vaccination-requirement-fall-2021)@@Barnard College,Barnard College,,"April 19, 2021",Private,NY,✓,✓,--,D
[Bates College](https://www.bates.edu/academic-year-2020-21/2021/05/11/covid-19-vaccination-requirements-for-fall-2021-semester/)@@Bates College,Bates College,,"May 11, 2021",Private,ME,--,✓,--,D
[Bay Path University](https://www.baypath.edu/about/the-path-forward/june-4-upload-your-covid-vaccination-card-instructions/)@@Bay Path University,Bay Path University,,"June 4, 2021",Private,MA,✓,✓,--,D
[Bellarmine University](https://www.bellarmine.edu/welcome-back/)@@Bellarmine University,Bellarmine University,,--,Private,KY,✓,✓,--,R
[Beloit College](https://www.beloit.edu/live/blurbs/1071-community-care-college-is-requiring-vaccines-for)@@Beloit College,Beloit College,,"May 21, 2021",Private,WI,✓,✓,--,D
[Bennett College](https://www.bennett.edu/bc/back-to-bennett-fall-2021/)@@Bennett College,Bennett College,,--,Private,NC,--,✓,--,R
[Bennington College](https://www.bennington.edu/news-and-features/planning-fall-covid-vaccinations)@@Bennington College,Bennington College,,"April 16, 2021",Private,VT,--,✓,--,D
[Bentley University](https://www.bentley.edu/news/COVID-19-vaccination-requirements)@@Bentley University,Bentley University,,"May 17, 2021",Private,MA,✓,✓,--,D
[Berea College](https://www.courier-journal.com/story/news/local/2021/05/03/covid-19-vaccines-berea-college-kentucky-require-students-shots/4871589001/?gnt-cfr=1)@@Berea College,Berea College,,"April 29, 2021",Private,KY,--,✓,--,R
[Berkeley City College](https://safe.peralta.edu/updates/campusstatus8-3-21)@@Berkeley City College,Berkeley City College,,"August 5, 2021",Public,CA,✓,✓,--,D
[Berklee College of Music](https://www.berklee.edu/berklee-now/news/berklee-to-require-students-to-be-fully-vaccinated-against-covid-19-ahead-of-fall-2021-semester)@@Berklee College of Music,Berklee College of Music,,"April 28, 2021",Private,MA,✓,✓,--,D
[Bethany College](https://www.bethanywv.edu/about-bethany/bethany-college-requiring-students-to-get-covid-19-vaccination/)@@Bethany College,Bethany College,,"June 23, 2021",Private,WV,--,✓,--,R
[Binghamton University](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Binghamton University,Binghamton University,,"May 10, 2021",Public,NY,--,✓,--,D
[Boston College](https://www.bcheights.com/2021/04/23/bc-to-require-vaccinations-for-2021-2022-academic-year/)@@Boston College,Boston College,,"April 23, 2021",Private,MA,✓,✓,--,D
[Boston University](https://www.bu.edu/president/vaccination-and-the-fall-semester-at-boston-university/)@@Boston University,Boston University,Y,"April 9, 2021",Private,MA,✓,✓,--,D
[Bowdoin College](https://www.bowdoin.edu/president/writings-and-addresses/messages-to-the-community/2021/apr-16.html)@@Bowdoin College,Bowdoin College,,"April 16, 2021",Private,ME,✓,✓,--,D
[Bowie State University](https://www.usmd.edu/newsroom/news/2154)@@Bowie State University,Bowie State University,,"April 23, 2021",Public,MD,✓,✓,--,D
[Brandeis University](https://www.brandeis.edu/covid-19/policies/campus-updates/2021-04-26-vaccine-requirement.html)@@Brandeis University,Brandeis University,Y,"April 26, 2021",Private,MA,✓,✓,--,D
[Brevard College](https://brevard.edu/important-policy-announcement/)@@Brevard College,Brevard College,,"April 28, 2021",Private,NC,✓,✓,--,R
[Bridgewater College](https://www.bridgewater.edu/covid-19-and-cares-act/)@@Bridgewater College,Bridgewater College,,"May 7, 2021",Private,VA,✓,✓,--,D
[Bridgewater State University](https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021)@@Bridgewater State University,Bridgewater State University,,"April 26, 2021",Public,MA,--,✓,--,D
[Brigham Young University-Hawaii](https://news.byuh.edu/announcements/covid-19-immunization-requirement-for-students-beginning-fall-2021)@@Brigham Young University-Hawaii,Brigham Young University-Hawaii,,"June 16, 2021",Private,HI,--,✓,--,D
[Brown University](https://www.providencejournal.com/story/news/2021/04/06/brown-begin-requiring-vaccines-students-come-fall/7107713002/)@@Brown University,Brown University,Y,"April 6, 2021",Private,RI,✓,✓,--,D
[Bryant University](https://news.bryant.edu/student-covid-19-vaccination-and-masking-policy-fall-semester-2021)@@Bryant University,Bryant University,,"June 30, 2021",Private,RI,✓,✓,--,D
[Bryn Athyn College of the New Church](https://brynathyn.edu/news/addition-to-immunization-requirements-for-bac-community.html)@@Bryn Athyn College of the New Church,Bryn Athyn College of the New Church,,"July 23, 2021",Private,PA,✓,✓,--,D
[Bryn Mawr College](https://www.brynmawr.edu/news/message-bico-community-covid-vaccinations-be-required-students-fall-2021)@@Bryn Mawr College,Bryn Mawr College,,"April 28, 2021",Private,PA,--,✓,--,D
[Bucknell University](https://www.bucknell.edu/life-bucknell/fall-reopening/students-families/messages-event-recordings)@@Bucknell University,Bucknell University,,"May 13, 2021",Private,PA,--,✓,--,D
[Butler University](https://view.engagement.butler.edu/?qs=4a2563dafb53258736a275287b48ab5605e2f9a57dc24908ca153b7b562e1d5d03414be972f9e88dbbcad5ddff2bb4119ca0cf56d4dbfce2c0306cd68795925f627d4964f88ef9b60f277bc0fbcf8fcfd8782d2bcef8a8bc)@@Butler University,Butler University,,"June 21, 2021",Private,IN,✓,✓,--,R
[Cabrini University](https://www.cabrini.edu/about/media-hub/news/2021/vaccine-requirement)@@Cabrini University,Cabrini University,,"June 25, 2021",Private,PA,✓,✓,--,D
[Caldwell University](https://www.caldwell.edu/coronavirus-update/student-vaccine-faq/)@@Caldwell University,Caldwell University,,--,Private,NJ,--,✓,--,D
[California College of the Arts](https://portal.cca.edu/thriving/health-wellness/novel-coronavirus-covid19/vaccination-requirements-fall-2021/)@@California College of the Arts,California College of the Arts,,"May 5, 2021",Private,CA,✓,✓,--,D
[California Institute of Integral Studies](https://www.ciis.edu/covid-19/vaccination-requirements-for-fall-2021)@@California Institute of Integral Studies,California Institute of Integral Studies,,--,Private,CA,✓,✓,--,D
[California Institute of Technology](https://studentaffairs.caltech.edu/policies/vaccination-policy)@@California Institute of Technology,California Institute of Technology,Y,"April 30, 2021",Private,CA,✓,✓,--,D
[California Jazz Conservatory](https://cjc.edu/about-the-cjc-2/health-and-safety-guidelines/)@@California Jazz Conservatory,California Jazz Conservatory,,--,Private,CA,--,--,✓,D
[California Lutheran University](https://www.callutheran.edu/know/updates/?id=14346)@@California Lutheran University,California Lutheran University,,"May 17, 2021",Private,CA,✓,✓,--,D
[California Polytechnic State University at San Luis Obispo](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California Polytechnic State University at San Luis Obispo,California Polytechnic State University at San Luis Obispo,,"April 22, 2021",Public,CA,✓,✓,--,D
[California State Polytechnic University at Pomona](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State Polytechnic University at Pomona,California State Polytechnic University at Pomona,,"April 22, 2021",Public,CA,✓,✓,--,D
[California State University at Bakersfield](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Bakersfield,California State University at Bakersfield,,"April 22, 2021",Public,CA,✓,✓,--,D
[California State University at Chico](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Chico,California State University at Chico,,"April 22, 2021",Public,CA,✓,✓,--,D
[California State University at Fresno](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Fresno,California State University at Fresno,,"April 22, 2021",Public,CA,✓,✓,--,D
[California State University at Fullerton](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Fullerton,California State University at Fullerton,,"April 22, 2021",Public,CA,✓,✓,--,D
[California State University at Long Beach](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Long Beach,California State University at Long Beach,,"April 22, 2021",Public,CA,✓,✓,--,D
[California State University at Los Angeles](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Los Angeles,California State University at Los Angeles,,"April 22, 2021",Public,CA,✓,✓,--,D
[California State University at Northridge](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Northridge,California State University at Northridge,,"April 22, 2021",Public,CA,✓,✓,--,D
[California State University at Sacramento](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Sacramento,California State University at Sacramento,,"April 22, 2021",Public,CA,✓,✓,--,D
[California State University at San Bernardino](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at San Bernardino,California State University at San Bernardino,,"April 22, 2021",Public,CA,✓,✓,--,D
[California State University at San Marcos](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at San Marcos,California State University at San Marcos,,"April 22, 2021",Public,CA,✓,✓,--,D
[California State University Maritime Academy](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University Maritime Academy,California State University Maritime Academy,,"April 22, 2021",Public,CA,✓,✓,--,D
[California State University-Channel Islands](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University-Channel Islands,California State University-Channel Islands,,"April 22, 2021",Public,CA,✓,✓,--,D
[California State University-Dominguez Hills](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University-Dominguez Hills,California State University-Dominguez Hills,,"April 22, 2021",Public,CA,✓,✓,--,D
[California State University-East Bay](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University-East Bay,California State University-East Bay,,"April 22, 2021",Public,CA,✓,✓,--,D
[California State University-Monterey Bay](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University-Monterey Bay,California State University-Monterey Bay,,"April 22, 2021",Public,CA,✓,✓,--,D
[California State University-Stanislaus](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University-Stanislaus,California State University-Stanislaus,,"April 22, 2021",Public,CA,✓,✓,--,D
[Cambridge College in Massachusetts](https://www.cambridgecollege.edu/sites/default/files/file_uploads/cc_student_safe_return_fall_2021_faq.pdf)@@Cambridge College in Massachusetts,Cambridge College in Massachusetts,,"July 23, 2021",Private,MA,--,--,✓,D
[Capital Community College](https://www.ct.edu/covid19#faqs)@@Capital Community College,Capital Community College,,"June 25, 2021",Public,CT,--,✓,--,D
[Carleton College](https://www.carleton.edu/covid/updates/message-from-president-poskanzer-sharing-the-framework-for-fall-2021/)@@Carleton College,Carleton College,,"April 28, 2021",Private,MN,✓,✓,--,D
[Carnegie Mellon University](https://www.cmu.edu/coronavirus/news-and-communications/communications-archive/2021/may/vaccine-requirements-for-fall-semester.html)@@Carnegie Mellon University,Carnegie Mellon University,Y,"May 11, 2021",Private,PA,✓,✓,--,D
[Carthage College ](https://www.carthage.edu/carthage-covid-19/vaccinations/)@@Carthage College ,Carthage College ,,"July 14, 2021",Private,WI,✓,✓,--,D
[Case Western Reserve University](https://case.edu/covid19/covid-19-communications/vaccination-requirements-case-western-reserve-university)@@Case Western Reserve University,Case Western Reserve University,Y,"July 15, 2021",Private,OH,✓,✓,--,R
[Castleton University](https://www.castleton.edu/covid-19-coronavirus-updates/covid-vaccine/)@@Castleton University,Castleton University,,"July 22, 2021",Public,VT,--,✓,--,D
[Cayuga County Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Cayuga County Community College,Cayuga County Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[Cazenovia College](https://www.cazenovia.edu/news/cazenovia-college-requiring-covid-19-vaccination-fall-2021-semester)@@Cazenovia College,Cazenovia College,,"May 11, 2021",Private,NY,✓,✓,--,D
[Central Connecticut State University](https://www.ct.edu/covid19#faqs)@@Central Connecticut State University,Central Connecticut State University,,"June 25, 2021",Public,CT,--,✓,--,D
[Central Maine Community College](https://www.mccs.me.edu/covid-19/vaccine-protocol/)@@Central Maine Community College,Central Maine Community College,,"August 12, 2021",Public,ME,--,✓,--,D
[Central New Mexico Community College](https://www.cnm.edu/covid-19/vaccine-policy)@@Central New Mexico Community College,Central New Mexico Community College,,"August 4, 2021",Public,NM,✓,✓,--,D
[Central Washington University](http://www.cwu.edu/message-president-james-gaudino?fbclid=IwAR2F8DQ1D75NBrCsxgkq5OgJJGkwXWBkghX1eIIK4tZ5jSWDWNISlHBTgqU)@@Central Washington University,Central Washington University,,"May 6, 2021",Public,WA,✓,✓,--,D
[Centre College](https://www.centre.edu/coronavirus/)@@Centre College,Centre College,,--,Private,KY,--,✓,--,R
[Chamberlain University at Addison](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Addison,Chamberlain University at Addison,,"July 15, 2021",For-profit,IL,✓,✓,--,D
[Chamberlain University at Atlanta](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Atlanta,Chamberlain University at Atlanta,,7/15/2021,For-profit,GA,✓,✓,--,D
[Chamberlain University at Charlotte](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Charlotte,Chamberlain University at Charlotte,,"July 15, 2021",For-profit,NC,✓,✓,--,R
[Chamberlain University at Chicago](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Chicago,Chamberlain University at Chicago,,"July 15, 2021",For-profit,IL,✓,✓,--,D
[Chamberlain University at Cleveland](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Cleveland,Chamberlain University at Cleveland,,"July 15, 2021",For-profit,OH,✓,✓,--,R
[Chamberlain University at Columbus](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Columbus,Chamberlain University at Columbus,,"July 15, 2021",For-profit,OH,✓,✓,--,R
[Chamberlain University at Houston](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Houston,Chamberlain University at Houston,,"July 15, 2021",For-profit,TX,✓,✓,--,R
[Chamberlain University at Indianapolis](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Indianapolis,Chamberlain University at Indianapolis,,"July 15, 2021",For-profit,IN,✓,✓,--,R
[Chamberlain University at Irving](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Irving,Chamberlain University at Irving,,"July 15, 2021",For-profit,TX,✓,✓,--,R
[Chamberlain University at Irwindale](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Irwindale,Chamberlain University at Irwindale,,"July 15, 2021",For-profit,CA,✓,✓,--,D
[Chamberlain University at Jacksonville](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Jacksonville,Chamberlain University at Jacksonville,,"July 15, 2021",For-profit,FL,✓,✓,--,R
[Chamberlain University at Las Vegas](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Las Vegas,Chamberlain University at Las Vegas,,"July 15, 2021",For-profit,NV,✓,✓,--,D
[Chamberlain University at Miramar](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Miramar,Chamberlain University at Miramar,,"July 15, 2021",For-profit,FL,✓,✓,--,R
[Chamberlain University at New Orleans](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at New Orleans,Chamberlain University at New Orleans,,"July 15, 2021",For-profit,LA,✓,✓,--,R
[Chamberlain University at North Brunswick](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at North Brunswick,Chamberlain University at North Brunswick,,"July 15, 2021",For-profit,NJ,✓,✓,--,D
[Chamberlain University at Pearland](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Pearland,Chamberlain University at Pearland,,"July 15, 2021",For-profit,TX,✓,✓,--,R
[Chamberlain University at Phoenix](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Phoenix,Chamberlain University at Phoenix,,"July 15, 2021",For-profit,AZ,✓,✓,--,D
[Chamberlain University at Sacramento](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Sacramento,Chamberlain University at Sacramento,,"July 15, 2021",For-profit,CA,✓,✓,--,D
[Chamberlain University at San Antonio](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at San Antonio,Chamberlain University at San Antonio,,"July 15, 2021",For-profit,TX,✓,✓,--,R
[Chamberlain University at St. Louis](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at St. Louis,Chamberlain University at St. Louis,,"July 15, 2021",For-profit,MO,✓,✓,--,R
[Chamberlain University at Tinley Park](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Tinley Park,Chamberlain University at Tinley Park,,"July 15, 2021",For-profit,IL,✓,✓,--,D
[Chamberlain University at Troy](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Troy,Chamberlain University at Troy,,"July 15, 2021",For-profit,MI,✓,✓,--,D
[Chamberlain University at Tysons Corner](https://www.chamberlain.edu/coronavirus-vaccine-policy)@@Chamberlain University at Tysons Corner,Chamberlain University at Tysons Corner,,"July 15, 2021",For-profit,VA,✓,✓,--,D
[Champlain College ](https://view.champlain.edu/may-6-2021-covid-19-update/)@@Champlain College ,Champlain College ,,"May 6, 2021",Private,VT,--,✓,--,D
[Charter Oak State College](https://www.ct.edu/covid19#faqs)@@Charter Oak State College,Charter Oak State College,,"June 25, 2021",Public,CT,--,✓,--,D
[Chatham University](https://www.chatham.edu/covid-19/vaccine-info/vaccine-requirements.html)@@Chatham University,Chatham University,,--,Private,PA,✓,✓,--,D
[Chestnut Hill College](https://www.chc.edu/vaccination-policy)@@Chestnut Hill College,Chestnut Hill College,,--,Private,PA,✓,✓,--,D
[Chicago State University](https://www.csu.edu/covid19updates/)@@Chicago State University,Chicago State University,,"August 4, 2021",Public,IL,✓,--,✓,D
[Christian Brothers University](https://www.cbu.edu/coronavirus/)@@Christian Brothers University,Christian Brothers University,,"June 28, 2021",Private,TN,✓,✓,--,R
[Christopher Newport University](https://cnu.edu/news/2021/05/27-cnu-vaccines/#.YLetH7RKj9F)@@Christopher Newport University,Christopher Newport University,,"May 27, 2021",Public,VA,--,✓,--,D
[Claremont Graduate University](https://info.cgu.edu/emergency/office-of-the-president-cgu-return-to-campus-update/)@@Claremont Graduate University,Claremont Graduate University,,"May 6, 2021",Private,CA,✓,✓,--,D
[Claremont McKenna College](https://cmc-returns21.cmc.edu/presidents-message/)@@Claremont McKenna College,Claremont McKenna College,,"April 8, 2021",Private,CA,--,✓,--,D
[Clark Atlanta University](https://www.ajc.com/education/emory-and-atlantas-to-require-students-get-covid-19-vaccine/4M3BJZVT5JFVJC6HVB6VGFX5OI/)@@Clark Atlanta University,Clark Atlanta University,,"April 19, 2021",Private,GA,✓,✓,--,D
[Clark University](https://www.clarku.edu/offices/president/2021/05/20/covid-19-vaccine-requirement/)@@Clark University,Clark University,,"May 20, 2021",Private,MA,✓,✓,--,D
[Clarkson University](https://announcements.clarkson.edu/2021/05/11/covid-19-read-act-for-safest-learning-living-community-vaccination-required-for-all-employees-students/)@@Clarkson University,Clarkson University,,"May 11, 2021",Private,NY,✓,✓,--,D
[Cleveland Institute of Art](https://www.cia.edu/files/resources/covid-relatedmandatesandupdatesforfall2021semester.pdf)@@Cleveland Institute of Art,Cleveland Institute of Art,,--,Private,OH,✓,✓,--,R
[Cleveland State University](https://www.csuohio.edu/news/cleveland-state-university-welcome-all-students-back-campus-for-fall-2021)@@Cleveland State University,Cleveland State University,,"April 1, 2021",Public,OH,--,--,✓,R
[Clinton Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Clinton Community College,Clinton Community College,,"May 10, 2021",Public,NY,--,✓,--,D
[Colby College](https://covid19.colby.edu/2021/07/08/vaccination-update/)@@Colby College,Colby College,,"July 8, 2021",Private,ME,✓,✓,--,D
[Colby-Sawyer College](https://colby-sawyer.edu/news/vaccination-policy)@@Colby-Sawyer College,Colby-Sawyer College,,"May 26, 2021",Private,NH,✓,✓,--,D
[Colgate University](https://www.colgate.edu/colgate-together/university-policies-during-covid-19/vaccination-policy)@@Colgate University,Colgate University,,"May 5, 2021",Private,NY,✓,✓,--,D
[College for Creative Studies](https://www.collegeforcreativestudies.edu/health-safety/)@@College for Creative Studies,College for Creative Studies,,--,Private,MI,✓,✓,--,D
[College of Alameda](https://safe.peralta.edu/updates/campusstatus8-3-21)@@College of Alameda,College of Alameda,,"August 5, 2021",Public,CA,✓,✓,--,D
[College of DuPage](https://www.cod.edu/about/office_of_the_president/index.aspx)@@College of DuPage,College of DuPage,,--,Public,IL,✓,✓,--,D
[College of Mount Saint Vincent](https://mountsaintvincent.edu/covid-19-resources/information-on-coronavirus-covid-19/)@@College of Mount Saint Vincent,College of Mount Saint Vincent,,--,Private,NY,✓,✓,--,D
[College of Saint Benedict](https://www.csbsju.edu/covid-19/campus-communications/080421-vaccination-requirement)@@College of Saint Benedict,College of Saint Benedict,,"August 4, 2021",Private,MN,✓,✓,--,D
[College of Southern Nevada](https://www.unlv.edu/news-story/nevada-state-board-health-approves-covid-19-vaccination-requirement-students)@@College of Southern Nevada,College of Southern Nevada,,"August 20, 2021",Public,NV,--,✓,--,D
[College of Staten Island CUNY](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@College of Staten Island CUNY,College of Staten Island CUNY,,"May 10, 2021",Public,NY,--,✓,--,D
[College of the Atlantic](https://www.wabi.tv/2021/04/19/college-of-atlantic-to-require-all-on-campus-students-staff-to-be-vaccinated-next-fall/)@@College of the Atlantic,College of the Atlantic,,"April 19, 2021",Private,ME,✓,✓,--,D
[College of the Holy Cross](https://www.holycross.edu/2019-novel-coronavirus-covid-19-information/communications/2021-04-27-vaccinations-fall-return)@@College of the Holy Cross,College of the Holy Cross,,"April 27, 2021",Private,MA,✓,✓,--,D
[Colorado College](https://us8.campaign-archive.com/?u=a2ffa14c4a3c79ddcc1b20faa&id=a91e17a99a)@@Colorado College,Colorado College,,"April 26, 2021",Private,CO,✓,✓,--,D
[Colorado School of Mines](https://www.mines.edu/emergency/update-on-covid-19-vaccination-plan-for-fall-2021/)@@Colorado School of Mines,Colorado School of Mines,,"June 7, 2021",Public,CO,✓,✓,--,D
[Colorado State University at Fort Collins](https://csusystem.edu/csu-system-announces-covid-vaccine-requirement-for-fall-2021/)@@Colorado State University at Fort Collins,Colorado State University at Fort Collins,,"April 28, 2021",Public,CO,✓,✓,--,D
[Colorado State University at Pueblo](https://csusystem.edu/csu-system-announces-covid-vaccine-requirement-for-fall-2021/)@@Colorado State University at Pueblo,Colorado State University at Pueblo,,"April 28, 2021",Public,CO,✓,✓,--,D
